title,keywords
Pfizer’s Head of Research Is Departing,"['Pfizer Inc', 'Medicine and Health', 'Drugs (Pharmaceuticals)', 'Executives and Management']"
Raising Issue of Succession at Pfizer,"['Pfizer Inc', 'Appointments and Executive Changes', 'Drugs (Pharmaceuticals)']"
Pfizer Drug for Diabetes Is Lagging,"['Pfizer Inc', 'Exubera (Drug)', 'Drugs (Pharmaceuticals)', 'Sales', 'Medicine and Health', 'Diabetes']"
"For Pfizer, a Big Deal and a Test","['Mergers, Acquisitions and Divestitures', 'Company Reports', 'Pfizer Inc', 'Layoffs and Job Reductions', 'Medicine and Health', 'Kindler, Jeffrey B', 'Wyeth']"
They Made the ‘Pfizer Vaccine’,"['Pfizer Inc', 'Sahin, Ugur', 'Biden, Joseph R Jr', 'Great Britain', 'Coronavirus (2019-nCoV)', 'BioNTech SE', 'Tureci, Ozlem']"
Pfizer Assurances on Jobs,[]
"For Pfizer, it’s the molecules that count",[]
Pfizer and the Proxy Adviser,[]
Another Blow to Pfizer,[]
Pfizer under attack,[]
Pfizer and the proxy adviser,[]
PFIZER INC. (N),"['Pfizer Inc', 'Company Reports']"
Pfizer Close to Selling Another Unit,"['Mergers, Acquisitions and Divestitures', 'Pfizer Inc', 'Drugs (Pharmaceuticals)']"
Pfizer's Award,"['AMERICAN HOSPITAL SUPPLY CORP', 'Pfizer Inc', 'Suits and Litigation', 'INVENTIONS AND INVENTORS']"
Pfizer and Celera in Deal,[]
Pfizer’s Chairman and Chief Retires Unexpectedly,"['Pfizer Inc', 'Drugs (Pharmaceuticals)', 'Kindler, Jeffrey B', 'Appointments and Executive Changes']"
Pfizer's Executive Move,"['Pfizer Inc', 'Steere, William C Jr', 'PRATT, EDMUND T JR', 'Appointments and Executive Changes']"
PFIZER INC. (PFE:N),"['Pfizer Inc', 'Company Reports']"
Pfizer Pays Fine,"['Delaware River', 'Pfizer Inc', 'Water Pollution', 'Fines (Penalties)']"
Pfizer to End Lipitor Ads by Jarvik,"['Advertising and Marketing', 'Jarvik, Robert K', 'Lipitor (Drug)', 'Pfizer Inc', 'Cholesterol', 'Drugs (Pharmaceuticals)']"
Pfizer to Raise Dividend,"['Pfizer Inc', 'Finances']"
Fiat-Pfizer Deal,"['Pfizer Inc', 'SHILEY INC', 'Fiat SpA', 'Mergers, Acquisitions and Divestitures']"
"For Groton, a Pfizer Commitment","['GROTON (CONN)', 'Connecticut', 'Pfizer Inc', 'Libby, Sam', 'Drugs (Pharmaceuticals)', 'Research']"
Pfizer Ends Drug Cards for Elderly,"['Medicare Rights Center', 'Pfizer Inc', 'PFIZER INCORPORATED', 'Health Insurance and Managed Care', 'Drugs (Pharmaceuticals)', 'Prices (Fares, Fees and Rates)', 'AGED', 'Medicare', 'Medicine and Health']"
  PFIZER'S AWARENESS CAMPAIGN,"['DOREMUS & CO', 'Pfizer Inc', 'Age, Chronological', 'ADVERTISING', 'Television', 'Medicine and Health', 'ADVERTISING (TIMES COLUMN)']"
Pfizer Needs Clearer Goals,"['Drugs (Pharmaceuticals)', 'Mergers, Acquisitions and Divestitures', 'Pfizer Inc', 'Read, Ian C']"
Dekalb-Pfizer Deal,"['Pfizer Inc', 'DEKALB-PFIZER GENETICS', 'Dekalb Genetics Corp', 'Mergers, Acquisitions and Divestitures']"
Pfizer Abandons Bid for AstraZeneca,"['Drugs (Pharmaceuticals)', 'Mergers, Acquisitions and Divestitures', 'Read, Ian C', 'AstraZeneca PLC', 'Pfizer Inc']"
Pfizer’s Long War on Taxation,"['Corporate Taxes', 'Pfizer Inc', 'Tax Shelters', 'Puerto Rico', 'ALLERGAN INC', 'Tax Credits, Deductions and Exemptions', 'Ireland', 'International Trade and World Market', 'Lew, Jacob J']"
